jobid      ,emailid    ,accountid  ,accountuserid,fromname                                                                                                                          ,fromemail                                                                                           ,schedtime              ,pickuptime             ,deliveredtime          ,eventid                                           ,ismultipart,jobtype                                           ,jobstatus                                         ,modifiedby ,modifieddate           ,emailname                                                                                                                                                                                               ,emailsubject                                                                                                                                                                                            ,iswrapped,testemailaddr                                                                                                                   ,category                                                                                            ,bccemail                                                                                            ,originalschedtime      ,createddate            ,characterset                  ,ipaddress                                         ,salesforcetotalsubscribercount,salesforceerrorsubscribercount,sendtype                                                                                                                        ,dynamicemailsubject                                                                                                                                                                                                                                       ,suppresstracking,sendclassificationtype          ,sendclassification                  ,resolvelinkswithcurrentdata,emailsenddefinition                 ,deduplicatebyemail,triggerersenddefinitionobjectid     ,triggeredsendcustomerkey            
      19603,      10302,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-22 10:00:00.000,2022-10-22 10:01:00.000,2022-10-22 10:13:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,  715453037,2022-10-22 10:13:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,my tracking                                                                                         ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 12:16:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,019A0B61-0F32-41EC-BFE5-9284FF5CE44D
      19605,      10304,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-22 18:00:00.000,2022-10-22 18:01:00.000,2022-10-22 18:06:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,  715453037,2022-10-22 18:05:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,my tracking                                                                                         ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 12:20:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,57063DC6-8F61-4C73-AA24-E2E3DEE4DB71
      19785,      10217,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-22 14:00:00.000,2022-10-22 14:01:00.000,2022-10-22 14:04:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,  715453037,2022-10-22 14:04:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,my tracking                                                                                         ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 19:13:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,0D605F7D-D52B-4249-9C68-3A0FCB6428DD
      19786,      10323,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-22 14:00:00.000,2022-10-22 14:01:00.000,2022-10-22 14:04:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,  715453037,2022-10-22 14:04:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,my tracking                                                                                         ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 19:14:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,C5FB04C1-0B40-4708-BF9E-2C50C9400969
      19867,      10316,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-21 12:33:00.000,2022-10-21 12:34:00.000,2022-10-21 12:34:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,          0,2022-10-21 12:33:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Test Send Emails                                                                                    ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-21 12:33:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               1,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,22A72EB5-88B7-4361-8691-DDE416E00D4F
      19859,      10316,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-21 12:12:00.000,2022-10-21 12:13:00.000,2022-10-21 12:13:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,          0,2022-10-21 12:12:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Test Send Emails                                                                                    ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-21 12:12:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               1,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,86C21E9B-C01F-431A-880F-4EBC1C5CFDD6
      19845,      10316,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-21 11:42:00.000,2022-10-21 11:43:00.000,2022-10-21 11:43:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,          0,2022-10-21 11:42:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Test Send Emails                                                                                    ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-21 11:42:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               1,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,0235324B-25E1-4C7A-AEFE-BA75751AECCE
      19781,      10321,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-21 18:00:00.000,                   NULL,2022-10-21 11:38:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,  715475419,2022-10-21 11:37:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,my tracking                                                                                         ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 18:50:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,0D6EE8E3-4C13-4FDF-8601-5D30D25D3263
      19780,      10320,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-21 10:00:00.000,2022-10-21 10:01:00.000,2022-10-21 10:19:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,  715475419,2022-10-21 10:19:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,my tracking                                                                                         ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 18:48:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,8B3D8FB9-BFDC-47C9-BA6E-66B990FFDC07
      19776,      10319,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-21 10:00:00.000,2022-10-21 10:01:00.000,2022-10-21 10:06:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,  715475419,2022-10-21 10:06:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,my tracking                                                                                         ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 18:41:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,8173DA88-6374-4596-816C-C736B1DD1522
      19777,      10284,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-21 10:00:00.000,2022-10-21 10:01:00.000,2022-10-21 10:06:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,  715475419,2022-10-21 10:06:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,my tracking                                                                                         ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 18:42:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,4454E670-0C99-470A-AF00-AE19825F1353
      19778,      10317,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-21 10:00:00.000,2022-10-21 10:01:00.000,2022-10-21 10:06:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,  715475419,2022-10-21 10:06:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,my tracking                                                                                         ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 18:45:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,5413DC17-2AA0-42FD-BD9E-001DCE5A4B6E
      19779,      10318,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-21 10:00:00.000,2022-10-21 10:01:00.000,2022-10-21 10:06:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,  715475419,2022-10-21 10:06:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,my tracking                                                                                         ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 18:46:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,8D2937C7-2F82-42D4-AD5E-2EEDD8B343F0
      19844,      10321,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-21 18:00:00.000,2022-10-21 18:01:00.000,2022-10-21 18:04:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,  715453037,2022-10-21 18:03:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,my tracking                                                                                         ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-21 11:39:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,D14EC498-31EA-4929-A9A7-54C03E39656B
      19782,      10290,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-21 14:00:00.000,2022-10-21 14:01:00.000,2022-10-21 14:04:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,  715475419,2022-10-21 14:03:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,my tracking                                                                                         ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 18:58:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,82FA5BC9-1ED7-40B9-896E-3BA32ACF5F16
      19783,      10322,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-21 14:00:00.000,2022-10-21 14:01:00.000,2022-10-21 14:04:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,  715475419,2022-10-21 14:04:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,my tracking                                                                                         ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 18:59:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,3055BE6F-EA03-4A03-A56C-DC18B77768F9
      19680,       9331,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-20 12:58:00.000,2022-10-20 12:59:00.000,2022-10-20 12:59:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-10-20 12:58:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Test Send Emails                                                                                    ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 12:58:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               1,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 0,NULL                                ,86B24AAA-4EF2-49FE-AA92-5723D54B6C77
      19681,       9330,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-20 12:58:00.000,2022-10-20 12:59:00.000,2022-10-20 12:59:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-10-20 12:58:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Test Send Emails                                                                                    ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 12:58:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               1,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 0,NULL                                ,DC93C3E8-5DDF-45C6-8C6B-5BDE96D08DFB
      19678,       9328,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-20 12:57:00.000,2022-10-20 12:58:00.000,2022-10-20 12:58:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-10-20 12:57:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Test Send Emails                                                                                    ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 12:57:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               1,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 0,NULL                                ,6B8A614C-E200-4648-AE66-975B3C4F4F35
      19679,       9332,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-20 12:57:00.000,2022-10-20 12:58:00.000,2022-10-20 12:58:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-10-20 12:57:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Test Send Emails                                                                                    ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 12:57:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               1,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 0,NULL                                ,68935597-797C-4516-91D6-4018F7C3891D
      19677,       9334,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-20 12:55:00.000,2022-10-20 12:56:00.000,2022-10-20 12:56:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-10-20 12:55:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Test Send Emails                                                                                    ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 12:55:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               1,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 0,NULL                                ,728E9DF7-88B7-4E2E-904B-0419BEDB0467
      19673,      10290,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-10-20 12:41:00.000,2022-10-20 12:42:00.000,2022-10-20 12:42:00.000,NULL                                              ,          1,MULTIPLE_SEND                                     ,New                                               ,          0,2022-10-20 12:41:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Test Send Emails                                                                                    ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-10-20 12:41:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               1,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 1,NULL                                ,7C93B6AA-7861-4D3D-91D1-B6BE04E63AC3
