versionid                           ,activityid                          ,activityname                                                                                                                                                                                            ,activityexternalkey                                                                                                                                                                                     ,journeyactivityobjectid             ,activitytype                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
B6F656ED-8F05-4FC5-8909-056B0D35A10A,B6AC0AEC-D70D-4C71-8614-010AFA5FEC97,Stop                                                                                                                                                                                                    ,b9ee1fe1-6a91-4332-b7e8-2c8553d142ec                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B6F656ED-8F05-4FC5-8909-056B0D35A10A,AAAFBF4C-54D1-40C2-9089-2A8CABE36CF9,PROMO_20221217_PUSH_PartyUpTo50Off_IOS                                                                                                                                                                  ,PUSHNOTIFICATIONACTIVITY-4                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B6F656ED-8F05-4FC5-8909-056B0D35A10A,06C63C87-1252-4E46-9092-2E4785E4A6F3,Start Activity                                                                                                                                                                                          ,f6d5f1ce-9b94-4e8b-b3b2-1b1a62df750d                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
B6F656ED-8F05-4FC5-8909-056B0D35A10A,1C97F7D1-2824-4E09-89F2-33B92CB950F9,NULL                                                                                                                                                                                                    ,RANDOMSPLITV2-1                                                                                                                                                                                         ,00000000-0000-0000-0000-000000000000,RANDOMSPLIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
B6F656ED-8F05-4FC5-8909-056B0D35A10A,4A985FF3-C902-4F61-8253-3C9CEDE51AA8,Stop                                                                                                                                                                                                    ,e9904f18-6b13-4811-95c0-54037d4ec17f                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B6F656ED-8F05-4FC5-8909-056B0D35A10A,248CF4B0-A557-4F07-8F2F-4014AA053851,NULL                                                                                                                                                                                                    ,MULTICRITERIADECISIONV2-1                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,MULTICRITERIADECISION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
B6F656ED-8F05-4FC5-8909-056B0D35A10A,18AD6346-9DA9-4B76-A2AB-4ADC7AE1E514,PROMO_20221217_PUSH_PartyUpTo50Off_Android                                                                                                                                                              ,PUSHNOTIFICATIONACTIVITY-2                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B6F656ED-8F05-4FC5-8909-056B0D35A10A,2091A421-E78D-48F3-89F8-6D47501CF6D5,1 minute                                                                                                                                                                                                ,WAITBYDURATION-2                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
B6F656ED-8F05-4FC5-8909-056B0D35A10A,4B20D9FF-33D8-4899-859C-7B401CC0ABD5,1 minute                                                                                                                                                                                                ,WAITBYDURATION-1                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
B6F656ED-8F05-4FC5-8909-056B0D35A10A,EB872FB6-31B6-46FF-B740-AAE08352995C,F21 Mobile Push Android7 iOS9                                                                                                                                                                           ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,ContactAudience                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
B6F656ED-8F05-4FC5-8909-056B0D35A10A,AD1B38F1-5F7C-4F58-8CC4-D07A8F1814C6,Stop                                                                                                                                                                                                    ,5aa04ac2-3338-4d60-8a02-4a451a42cea0                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B6F656ED-8F05-4FC5-8909-056B0D35A10A,6CD56EAE-45B1-4630-B269-BE0CDD0B49BA,PROMO_20221217_PUSH_PartyUpTo50Off_IOS_Rich                                                                                                                                                             ,PUSHNOTIFICATIONACTIVITY-1                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
F6624C78-FE2D-47CD-9B7A-06474E9E6535,05BFCA90-EE20-4389-9B9F-722E445FB957,1 minute                                                                                                                                                                                                ,WAITBYDURATION-1                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
F6624C78-FE2D-47CD-9B7A-06474E9E6535,9661102A-C4A8-4D4B-8DBA-ADBBCE13FF00,ARK_Sweeps_Testing                                                                                                                                                                                      ,INAPPSYNCACTIVITY-2                                                                                                                                                                                     ,00000000-0000-0000-0000-000000000000,INAPPSYNCACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
F6624C78-FE2D-47CD-9B7A-06474E9E6535,EBDBC3A6-A019-4D6B-BAAD-E410EAD88FD8,TRIGGER                                                                                                                                                                                                 ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,EmailAudience                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
17FEDFDC-95A3-435A-893C-066703FD732A,6AF85AD3-3B72-4040-BE31-029C8ACEF5DA,Update Contact - Master_Subscriber_Data                                                                                                                                                                 ,UPDATECONTACTDATAV2-4                                                                                                                                                                                   ,00000000-0000-0000-0000-000000000000,UPDATECONTACTDATA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
17FEDFDC-95A3-435A-893C-066703FD732A,C10E3ECF-AE5A-4EDF-BD71-03F0CD7C9267,Triggered_Welcome_PreSpring2023_E2                                                                                                                                                                      ,EMAILV2-2                                                                                                                                                                                               ,1674B5BB-DC9C-ED11-B849-48DF37E41D3A,EMAILV2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
17FEDFDC-95A3-435A-893C-066703FD732A,1B2D2A1B-7EB3-4019-9247-07E1F3125735,Stop                                                                                                                                                                                                    ,42a96b3e-e218-4d80-bf52-7d711defe845                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
17FEDFDC-95A3-435A-893C-066703FD732A,74DFB608-1887-4976-96C2-083CD4A8FC79,2 minutes                                                                                                                                                                                               ,WAITBYDURATION-2                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
17FEDFDC-95A3-435A-893C-066703FD732A,73EC6656-9E9E-44CF-B110-1C5CE7E8E470,NULL                                                                                                                                                                                                    ,MULTICRITERIADECISIONV2-1                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,MULTICRITERIADECISION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
17FEDFDC-95A3-435A-893C-066703FD732A,941C2072-4BCD-49A3-A3B1-29AC9FAC795B,Update Contact - F21_Welcome_Log                                                                                                                                                                        ,UPDATECONTACTDATAV2-2                                                                                                                                                                                   ,00000000-0000-0000-0000-000000000000,UPDATECONTACTDATA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
17FEDFDC-95A3-435A-893C-066703FD732A,02B599BF-4507-42B5-B431-336CD85484D9,1 day                                                                                                                                                                                                   ,WAITBYDURATION-1                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
17FEDFDC-95A3-435A-893C-066703FD732A,9406A19A-1803-40E7-B176-5084F5317473,Stop                                                                                                                                                                                                    ,87bb874e-e0c4-4b62-8d84-88faa8db9264                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
17FEDFDC-95A3-435A-893C-066703FD732A,77320F4C-3BFF-488E-A4FB-5377BD5614A0,AttentiveWelcome                                                                                                                                                                                        ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,APIEvent                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
17FEDFDC-95A3-435A-893C-066703FD732A,B2ED9AAF-15D7-4D63-AE3F-5D989C001593,New Sub vs Updated Permission                                                                                                                                                                           ,MULTICRITERIADECISIONV2-2                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,MULTICRITERIADECISION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
17FEDFDC-95A3-435A-893C-066703FD732A,6F6436C5-C19E-4E9D-9464-75BFB45DA6A6,Triggered_Welcome_PreSpring2023_E3                                                                                                                                                                      ,EMAILV2-3                                                                                                                                                                                               ,535F16BD-DC9C-ED11-B849-48DF37E41D3A,EMAILV2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
17FEDFDC-95A3-435A-893C-066703FD732A,380CD392-C8AD-44D5-88E5-7D09C22662C2,Triggered_Welcome_PreSpring2023_E4                                                                                                                                                                      ,EMAILV2-4                                                                                                                                                                                               ,CA6916BD-DC9C-ED11-B849-48DF37E41D3A,EMAILV2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
17FEDFDC-95A3-435A-893C-066703FD732A,4C9C3E23-2585-4901-9528-8205D7F0DD84,2 minutes                                                                                                                                                                                               ,WAITBYDURATION-5                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
17FEDFDC-95A3-435A-893C-066703FD732A,6A4DA4CA-28BC-4CDB-81A5-875CDD433737,Update Contact - Master_Subscriber_Data                                                                                                                                                                 ,UPDATECONTACTDATAV2-3                                                                                                                                                                                   ,00000000-0000-0000-0000-000000000000,UPDATECONTACTDATA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
17FEDFDC-95A3-435A-893C-066703FD732A,17DCDBD5-CEE7-4866-BDE9-B9C5A6F99A70,Update Contact - F21_Welcome_Log                                                                                                                                                                        ,UPDATECONTACTDATAV2-1                                                                                                                                                                                   ,00000000-0000-0000-0000-000000000000,UPDATECONTACTDATA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
17FEDFDC-95A3-435A-893C-066703FD732A,75CF444A-9DE5-44A9-85C5-C6AC65E2E935,2 minutes                                                                                                                                                                                               ,WAITBYDURATION-3                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
17FEDFDC-95A3-435A-893C-066703FD732A,9C846C8F-BD90-421C-B1F9-CCFD72CF6954,Triggered_Welcome_PreSpring2023_E1                                                                                                                                                                      ,EMAILV2-1                                                                                                                                                                                               ,6031FDB8-DC9C-ED11-B849-48DF37E41D3A,EMAILV2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
17FEDFDC-95A3-435A-893C-066703FD732A,7E254275-3364-438A-92F7-CF0C5EB26F1E,2 minutes                                                                                                                                                                                               ,WAITBYDURATION-4                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
17FEDFDC-95A3-435A-893C-066703FD732A,DB3AF6E1-1075-4968-9973-FB9E09376BD6,Start Activity                                                                                                                                                                                          ,27bcf7fd-b2d7-4f7f-8c58-7f9ed799e7c4                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
D6EC56E9-CDB6-4A47-BFB6-06777C73291E,2F76EC85-4D3C-4ED0-AF1F-0065785F023D,Start Activity                                                                                                                                                                                          ,9546e3fc-75d1-4709-80da-ee19fc1d25e4                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
D6EC56E9-CDB6-4A47-BFB6-06777C73291E,25D2CF40-A884-4A06-A36A-00FE6BD5B959,1 minute                                                                                                                                                                                                ,WAITBYDURATION-8                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
D6EC56E9-CDB6-4A47-BFB6-06777C73291E,A2A7FD68-1241-4704-9906-051DA6B60B9D,F21 Mobile Push Android7 iOS9                                                                                                                                                                           ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,ContactAudience                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
D6EC56E9-CDB6-4A47-BFB6-06777C73291E,2E3EC5DB-CAAD-4EA6-8761-0D3502043904,PROMO_20230213_PUSH_Balletcore_10AM                                                                                                                                                                     ,PUSHNOTIFICATIONACTIVITY-1                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
D6EC56E9-CDB6-4A47-BFB6-06777C73291E,E2CB5E7E-5E6B-4CB6-8803-1CC98B1EC63F,PROMO_20230213_PUSH_Balletcore_1PM                                                                                                                                                                      ,PUSHNOTIFICATIONACTIVITY-2                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
D6EC56E9-CDB6-4A47-BFB6-06777C73291E,9208D10E-AE38-4E74-A639-44489750BD17,PROMO_20230213_PUSH_Balletcore_STO                                                                                                                                                                      ,PUSHNOTIFICATIONACTIVITY-3                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
D6EC56E9-CDB6-4A47-BFB6-06777C73291E,58618BA7-852F-4CDF-87CE-46EF002F9522,Einstein STO - 10 Hours                                                                                                                                                                                 ,STOWAIT-1                                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,STOWAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
D6EC56E9-CDB6-4A47-BFB6-06777C73291E,F144C4ED-920C-4206-A59C-54E93E00929A,Stop                                                                                                                                                                                                    ,0d32f8e5-3a47-4262-8532-06ada7873880                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
D6EC56E9-CDB6-4A47-BFB6-06777C73291E,90028216-97D5-4EEB-8622-633079ECBE16,Stop                                                                                                                                                                                                    ,7ce2cc33-90e2-4bcb-9ae5-b2a0172b5296                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
D6EC56E9-CDB6-4A47-BFB6-06777C73291E,C86FCC4D-6237-4899-8964-686D1DDD0AB3,3 hours                                                                                                                                                                                                 ,WAITBYDURATION-7                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
